"survey","bush","state","edu","age","female","black","weight"
"9152",0,15,2,2,0,0,587
"9152",1,22,2,2,0,0,1558
"9152",0,33,4,4,1,0,1091
"9152",0,43,2,3,0,0,1882
"9152",0,14,3,2,1,0,530
"9152",1,31,4,1,0,0,392
"9152",1,26,3,1,0,0,1188
"9152",0,23,3,4,1,0,336
"9152",0,50,4,2,1,0,618
"9152",0,50,3,2,0,0,294
"9152",0,39,1,3,0,1,3362
"9152",1,35,3,2,0,0,294
"9152",1,15,3,2,1,0,530
"9152",1,44,4,3,0,0,664
"9152",1,26,4,2,0,0,686
"9152",1,19,1,3,0,0,1255
"9152",0,15,2,2,0,0,1174
"9152",1,39,4,1,0,0,784
"9152",0,25,2,1,1,1,5010
"9152",1,31,2,4,1,0,877
"9152",0,26,4,4,1,0,1234
"9152",1,22,4,2,1,0,410
"9152",1,50,3,2,1,0,530
"9152",0,14,3,2,1,0,530
"9152",0,15,2,1,0,0,1308
"9152",1,14,4,3,1,0,396
"9152",1,36,2,1,1,0,1178
"9152",1,47,1,3,1,0,1130
"9152",1,23,4,3,1,0,792
"9152",1,23,2,2,1,0,1057
"9152",1,15,3,1,0,0,1584
"9152",1,15,4,1,0,0,591
"9152",1,34,3,2,1,0,601
"9152",1,17,4,3,0,0,440
"9152",1,24,2,4,0,0,734
"9152",1,50,2,1,0,0,1308
"9152",1,14,2,1,0,0,1963
"9152",0,15,4,2,0,0,1029
"9152",1,26,2,2,0,0,1174
"9152",1,31,4,2,1,0,410
"9152",1,44,3,3,0,0,318
"9152",0,23,2,2,0,0,587
"9152",0,4,2,2,0,0,1330
"9152",1,14,4,3,0,0,586
"9152",1,37,2,1,1,0,1335
"9152",0,17,3,4,1,0,336
"9152",0,36,2,3,0,0,1107
"9152",1,7,4,1,0,0,392
"9152",0,23,4,2,1,0,309
"9152",1,23,3,3,0,0,561
"9152",1,17,2,2,0,0,1174
"9152",1,41,2,3,1,0,3389
"9152",1,17,4,1,1,0,532
"9152",0,5,1,3,0,0,1140
"9152",0,24,2,1,1,0,1178
"9152",0,14,4,2,1,0,1235
"9152",0,23,3,2,0,0,589
"9152",1,14,4,2,0,0,686
"9152",1,36,3,1,0,0,792
"9152",0,21,2,1,1,1,1002
"9152",1,34,3,3,0,0,636
"9152",0,22,4,1,1,0,706
"9152",0,14,3,3,0,1,642
"9152",0,14,2,2,0,0,1174
"9152",0,36,4,2,1,0,309
"9152",1,44,4,2,1,0,700
"9152",1,10,4,2,0,0,389
"9152",1,47,1,1,0,0,1483
"9152",1,44,3,2,1,0,601
"9152",1,11,2,2,1,0,1198
"9152",1,1,2,3,0,0,1255
"9152",1,50,1,2,1,1,1985
"9152",1,16,3,4,0,0,373
"9152",1,26,4,2,0,0,686
"9152",1,1,3,1,1,1,607
"9152",1,14,2,3,1,0,498
"9152",1,36,4,1,1,1,799
"9152",1,44,2,2,1,0,1198
"9152",0,14,2,2,0,0,1174
"9152",0,10,2,4,1,0,1498
"9152",1,42,1,4,0,0,734
"9152",1,26,1,4,1,0,1322
"9152",0,21,1,2,1,1,2250
"9152",1,37,2,2,1,0,1198
"9152",1,18,2,2,1,0,599
"9152",1,44,4,1,1,0,603
"9152",0,14,3,2,1,0,265
"9152",1,15,4,1,0,0,886
"9152",0,19,4,4,0,0,1035
"9152",0,49,4,1,1,0,603
"9152",1,17,2,3,0,0,1107
"9152",1,19,2,3,0,0,1255
"9152",1,19,3,2,1,0,601
"9152",1,14,3,3,0,0,841
"9152",1,36,4,3,0,0,879
"9152",1,16,4,2,0,0,343
"9152",1,42,1,4,1,0,661
"9152",1,23,3,2,1,0,795
"9152",1,25,1,2,0,0,1665
"9152",1,17,1,2,0,0,1469
"9152",0,43,1,4,1,0,749
"9152",0,4,2,1,1,0,1335
"9152",0,11,3,1,1,1,1213
"9152",1,11,4,3,1,0,598
"9152",1,44,4,2,1,0,700
"9152",1,49,4,2,1,0,350
"9152",0,18,2,4,1,0,749
"9152",1,1,3,3,1,0,572
"9152",1,24,2,4,1,0,661
"9152",1,4,4,2,1,0,700
"9152",1,25,3,2,1,0,300
"9152",1,49,2,1,1,0,2003
"9152",1,14,2,1,1,0,1178
"9152",1,32,2,3,0,0,1140
"9152",1,36,3,2,1,0,795
"9152",1,44,2,2,1,0,599
"9152",1,44,4,2,1,0,700
"9152",0,11,3,3,0,0,636
"9152",0,43,1,2,1,0,2249
"9152",1,18,3,2,0,0,667
"9152",1,14,2,3,1,0,498
"9152",1,50,2,3,1,0,997
"9152",1,44,4,2,1,0,1050
"9152",1,19,4,2,1,0,700
"9152",1,5,2,3,0,0,1140
"9152",1,44,4,2,0,0,777
"9152",0,5,4,3,0,0,604
"9152",1,3,3,2,0,0,606
"9152",0,44,3,1,1,0,808
"9152",1,25,4,2,0,0,777
"9152",1,1,3,2,1,1,902
"9152",0,18,2,3,1,0,565
"9152",0,44,2,3,0,0,1882
"9152",0,5,2,1,1,0,607
"9152",0,6,4,3,0,0,604
"9152",0,26,2,2,0,0,1174
"9152",0,6,4,1,1,0,1096
"9152",0,50,3,1,1,0,713
"9152",1,38,4,1,1,0,274
"9152",0,24,2,3,1,0,498
"9152",0,1,4,2,0,0,777
"9152",1,25,2,3,1,0,1130
"9152",0,5,2,4,1,0,680
"9152",0,5,3,3,0,0,289
"9152",0,48,1,2,1,0,1362
"9152",1,5,3,3,0,0,433
"9152",1,5,4,2,0,0,706
"9152",0,45,4,2,1,0,636
"9152",1,5,4,1,0,0,304
"9152",0,48,4,2,0,0,706
"9152",1,5,3,1,1,0,735
"9152",1,5,3,2,1,0,546
"9152",1,6,3,2,0,0,606
"9152",1,5,2,3,0,1,3913
"9152",0,5,4,2,0,0,353
"9152",1,5,3,3,1,0,390
"9152",1,5,3,1,0,0,1224
"9152",0,5,4,2,0,0,706
"9152",0,5,2,2,1,0,1088
"9152",0,5,1,2,1,0,1362
"9152",1,48,2,3,0,0,2280
"9152",1,5,4,4,1,0,423
"9152",1,3,4,2,0,0,706
"9152",1,6,2,4,0,0,1511
"9152",0,5,4,3,1,0,272
"9152",1,5,1,4,1,0,680
"9152",1,32,1,2,0,0,1513
"9152",0,13,3,3,0,0,578
"9152",1,38,2,4,0,0,1511
"9152",1,5,4,1,1,0,274
"9152",1,45,4,2,1,0,636
"9152",1,48,3,1,1,0,735
"9152",0,5,4,2,0,0,353
"9152",1,5,4,4,0,0,470
"9152",0,5,1,3,0,0,570
"9152",0,48,3,2,1,0,546
"9152",0,21,4,3,0,0,664
"9152",0,8,3,4,1,0,762
"9152",1,43,3,2,0,0,667
"9152",1,25,3,2,1,0,300
"9152",0,10,3,3,0,0,477
"9152",0,36,2,3,1,0,997
"9152",0,47,2,4,1,0,749
"9152",0,1,4,2,1,0,700
"9152",1,32,3,2,0,0,910
"9152",0,11,2,2,1,1,899
"9152",1,5,3,1,1,0,367
"9152",0,5,1,3,1,0,1027
"9152",0,48,3,2,0,0,606
"9152",1,6,2,4,1,0,680
"9152",0,5,3,1,0,0,1224
"9152",1,10,2,4,0,0,1663
"9152",1,22,1,4,0,0,974
"9152",1,25,3,1,1,0,808
"9152",1,10,2,3,1,0,565
"9152",1,20,4,1,1,0,706
"9152",0,10,3,3,1,0,286
"9152",0,31,3,2,0,0,781
"9152",1,39,2,2,0,0,1558
"9152",1,44,4,3,1,0,299
"9152",1,11,3,1,1,0,808
"9152",0,33,4,3,1,0,701
"9152",0,22,3,1,1,0,1420
"9152",0,34,3,2,1,0,601
"9152",1,22,4,1,1,0,706
"9152",1,39,2,3,1,0,1323
"9152",1,34,2,4,0,0,1663
"9152",0,22,2,2,1,0,1052
"9152",1,31,2,1,0,0,1736
"9152",0,31,3,1,1,0,1893
"9152",0,50,2,3,1,0,498
"9152",0,31,4,2,1,0,205
"9152",1,28,1,1,0,0,1308
"9152",1,44,4,2,0,0,1166
"9152",0,22,2,1,1,0,1564
"9152",0,23,1,3,0,0,554
"9152",0,33,4,2,0,0,455
"9152",1,18,1,4,1,0,1498
"9152",0,33,3,3,1,0,670
"9152",0,44,2,3,1,0,1130
"9152",0,22,3,2,0,0,781
"9152",1,44,4,2,1,0,700
"9152",0,39,2,3,0,0,1469
"9152",0,43,2,4,1,0,749
"9152",1,7,2,1,1,0,3909
"9152",0,10,4,2,1,0,700
"9152",0,22,4,2,1,0,820
"9152",1,44,1,4,1,1,1124
"9152",1,33,4,2,1,0,410
"9152",0,21,3,3,1,0,286
"9152",0,36,4,1,0,0,591
"9152",1,17,4,3,0,0,879
"9152",1,33,3,2,0,0,781
"9152",0,25,3,1,1,1,607
"9152",0,34,1,2,0,0,1665
"9152",0,22,1,2,0,0,1949
"9152",1,40,3,1,1,0,947
"9152",1,22,2,3,1,1,1985
"9152",1,43,3,2,1,0,601
"9152",0,34,2,3,0,0,627
"9152",1,33,3,2,1,0,352
"9152",0,33,1,3,1,0,1323
"9152",0,39,4,2,0,0,910
"9152",0,11,3,2,0,0,667
"9152",1,49,3,1,1,0,1617
"9152",0,36,2,3,0,1,1900
"9152",1,47,2,2,1,0,1198
"9152",1,10,2,3,1,0,1130
"9152",0,23,2,3,1,0,1994
"9152",0,33,2,2,1,0,1403
"9152",0,10,2,2,0,0,1330
"9152",1,34,2,1,1,0,1001
"9152",1,47,2,1,1,0,2003
"9152",0,39,4,3,0,0,389
"9152",0,43,3,4,1,0,2287
"9152",0,43,1,3,1,0,282
"9152",0,39,2,3,1,0,1984
"9152",1,47,4,2,0,0,1166
"9152",1,14,2,3,1,0,498
"9152",1,33,2,2,1,0,1403
"9152",1,41,1,2,0,0,832
"9152",1,1,1,3,1,1,1695
"9152",1,33,4,3,0,0,389
"9152",0,33,4,2,1,0,820
"9152",1,41,3,2,0,0,1001
"9152",1,21,3,2,1,0,601
"9152",1,36,2,2,0,0,1174
"9152",0,39,4,2,1,0,820
"9152",0,25,2,3,1,1,3391
"9152",1,19,4,3,0,0,996
"9152",1,49,4,2,0,0,777
"9152",1,36,2,2,0,0,1174
"9152",1,36,2,1,1,0,2356
"9152",1,22,2,4,0,0,2921
"9152",1,47,3,2,1,0,300
"9152",1,50,3,3,1,0,253
"9152",1,37,3,2,0,0,667
"9152",1,39,3,2,0,0,781
"9152",1,44,3,2,0,0,667
"9152",1,11,2,2,0,0,1330
"9152",1,35,2,1,1,1,1768
"9152",1,39,4,2,1,0,1230
"9152",0,14,2,3,0,0,554
"9152",0,31,2,1,0,0,3473
"9152",1,23,2,3,1,0,1495
"9152",1,43,4,2,0,0,777
"9152",0,43,4,2,0,0,777
"9152",1,43,2,4,1,0,2247
"9152",0,14,1,3,0,0,2214
"9152",1,50,4,3,0,0,586
"9152",1,43,3,2,1,0,601
"9152",0,33,3,1,0,1,1203
"9152",0,7,4,3,1,0,350
"9152",0,44,3,1,0,0,898
"9152",1,21,2,3,1,0,1130
"9152",1,36,2,3,1,0,1495
"9152",1,21,4,2,1,0,700
"9152",1,44,3,3,0,0,636
"9152",1,23,2,1,0,0,654
"9152",0,23,2,2,1,1,793
"9152",1,21,2,2,0,0,665
"9152",1,41,1,4,1,1,2248
"9152",0,36,4,2,0,0,686
"9152",0,23,3,1,1,0,535
"9152",1,7,4,3,1,0,1051
"9152",0,50,2,3,1,0,1495
"9152",1,26,4,3,1,0,528
"9152",1,43,2,3,1,0,1130
"9152",1,11,2,3,0,0,1255
"9152",1,10,4,2,1,0,700
"9152",0,14,4,2,0,0,343
"9152",1,36,4,2,1,0,618
"9152",0,44,1,3,1,0,1130
"9152",0,11,2,2,1,0,1198
"9152",1,43,2,2,0,0,1995
"9152",0,10,2,4,0,0,1663
"9152",1,14,4,2,0,0,343
"9152",1,24,4,3,1,0,1056
"9152",1,18,1,3,0,0,1255
"9152",1,34,2,3,1,0,1695
"9152",1,41,2,2,0,0,665
"9152",1,26,2,1,0,0,1308
"9152",1,26,2,1,0,0,1963
"9152",0,23,1,4,0,0,734
"9152",1,36,3,3,1,0,758
"9152",0,23,2,3,1,1,748
"9152",0,16,3,2,0,0,589
"9152",0,39,1,3,1,0,1984
"9152",1,10,4,2,1,0,700
"9152",0,44,3,4,0,0,846
"9152",1,41,3,4,0,0,846
"9152",0,36,2,1,0,0,654
"9152",1,7,2,4,0,0,1948
"9152",1,50,4,1,0,0,886
"9152",0,26,3,2,1,0,530
"9152",0,33,3,2,1,1,528
"9152",0,11,1,3,0,0,1255
"9152",0,43,2,3,0,0,1255
"9152",0,44,3,3,1,0,572
"9152",1,1,4,3,1,0,897
"9152",1,10,4,4,1,0,932
"9152",0,41,4,2,0,0,389
"9152",0,15,1,1,0,0,1963
"9152",0,23,2,4,1,0,661
"9152",0,24,3,1,0,0,792
"9152",0,23,1,3,0,1,1267
"9152",1,14,3,2,1,0,530
"9152",1,26,2,2,1,0,1057
"9152",1,15,2,3,1,0,498
"9152",0,42,4,1,1,0,266
"9152",0,49,2,2,1,0,1198
"9152",0,43,4,4,1,0,1050
"9152",0,34,1,2,0,0,1665
"9152",0,42,2,3,1,0,997
"9152",0,8,2,2,1,0,1198
"9152",0,33,4,1,0,0,392
"9152",1,25,4,1,0,0,670
"9152",1,1,2,3,1,0,565
"9152",1,36,3,1,1,0,1427
"9152",1,35,3,1,1,0,357
"9152",1,24,2,3,1,0,498
"9152",1,11,4,1,1,0,603
"9152",1,50,2,3,1,0,997
"9152",1,39,4,3,0,0,389
"9152",1,36,3,4,1,0,336
"9152",1,14,4,1,0,0,886
"9152",0,3,2,3,0,0,1140
"9152",1,49,3,1,1,0,808
"9152",0,44,4,2,0,0,1166
"9152",0,14,2,3,1,0,1994
"9152",0,31,3,2,0,0,1172
"9152",0,14,2,1,1,0,1178
"9152",0,23,4,2,1,0,309
"9152",0,5,4,1,0,0,304
"9152",1,21,1,4,0,0,1663
"9152",0,26,3,3,1,0,505
"9152",0,14,3,2,1,0,530
"9152",0,28,4,2,1,0,309
"9152",0,15,1,3,0,0,554
"9152",0,7,3,2,0,0,781
"9152",0,14,3,1,1,1,1071
"9152",0,47,3,2,0,1,2291
"9152",0,20,2,3,0,0,735
"9152",1,5,3,2,1,0,546
"9152",1,7,2,3,1,0,1323
"9152",1,34,1,2,0,1,7619
"9152",1,36,4,3,0,0,586
"9152",1,14,3,1,0,0,792
"9152",0,21,2,2,0,0,1330
"9152",0,16,2,3,1,0,997
"9152",1,14,2,2,1,0,528
"9152",1,33,3,1,0,0,1577
"9152",1,5,3,1,0,0,816
"9152",0,48,2,3,1,0,1027
"9152",0,39,1,4,1,0,1754
"9152",0,33,2,1,1,0,1564
"9152",1,36,2,3,1,0,997
"9152",0,26,2,3,0,0,1661
"9152",1,23,4,2,1,0,618
"9152",0,21,4,1,1,0,905
"9152",0,44,2,4,0,0,1663
"9152",0,42,3,3,1,0,253
"9152",0,1,2,2,1,0,3593
"9152",0,3,1,3,0,0,1710
"9152",0,10,2,4,0,0,832
"9152",0,5,1,2,0,0,1513
"9152",1,26,3,1,0,0,792
"9152",1,5,2,4,1,0,680
"9152",0,19,3,1,1,0,1213
"9152",1,14,2,3,0,0,554
"9152",1,3,3,2,0,0,303
"9152",1,48,4,2,0,0,1413
"9152",1,19,2,3,1,0,1130
"9152",0,48,2,4,0,0,1511
"9152",1,15,3,2,0,0,589
"9152",1,5,4,2,0,0,706
"9152",1,45,3,1,0,0,816
"9152",1,36,2,2,1,0,528
"9152",0,5,2,3,1,1,770
"9152",0,23,2,3,0,1,1267
"9152",1,4,2,3,1,0,1130
"9152",1,51,4,2,0,0,706
"9152",0,5,3,3,0,0,867
"9152",1,44,3,3,1,0,572
"9152",1,45,4,4,0,0,941
"9152",1,3,2,1,1,0,1213
"9152",1,5,2,2,1,0,544
"9152",1,23,2,2,1,0,1057
"9152",1,5,1,1,0,0,1347
"9152",1,5,3,2,1,0,546
"9152",1,15,2,4,0,0,1468
"9152",1,45,2,2,1,0,1088
"9152",0,5,3,2,1,0,546
"9152",0,3,4,3,1,1,816
"9152",0,5,4,4,1,0,423
"9152",1,36,4,3,1,0,528
"9152",0,27,3,3,1,0,1561
"9152",0,5,4,2,1,0,318
"9152",0,48,2,3,0,0,1140
"9152",1,5,4,2,1,0,1590
"9152",1,24,2,1,1,0,2356
"9152",0,5,1,4,0,0,756
"9152",0,5,1,2,0,0,1513
"9152",1,38,1,4,1,0,680
"9152",1,33,4,2,1,0,1639
"9152",0,47,4,1,1,0,302
"9152",1,31,4,1,0,0,196
"9152",1,17,2,2,1,0,1057
"9152",0,39,2,1,0,0,2604
"9152",0,5,2,3,1,0,1540
"9152",1,32,1,1,1,0,1213
"9152",1,10,2,4,1,0,749
"9152",0,5,4,2,1,0,636
"9152",1,5,4,2,1,0,318
"9152",1,43,4,2,0,0,777
"9152",1,24,2,2,1,0,528
"9152",1,3,4,2,0,0,353
"9152",1,5,2,1,1,0,1213
"9152",1,31,3,3,1,0,1006
"9152",1,11,3,2,1,0,901
"9152",1,33,2,1,1,0,1564
"9152",1,5,2,1,1,0,1213
"9152",1,39,4,3,1,0,1051
"9152",0,38,2,2,0,0,1209
"9152",0,44,2,1,0,0,2224
"9152",1,5,2,1,0,0,2021
"9152",1,48,1,4,1,1,1021
"9152",0,36,4,2,0,0,686
"9152",1,5,4,3,0,0,905
"9152",1,10,4,2,1,0,700
"9152",0,28,2,3,1,0,498
"9152",0,14,4,2,1,0,618
"9152",0,39,2,1,0,0,1736
"9152",0,41,4,2,1,1,525
"9152",0,36,3,2,1,0,265
"9152",0,38,2,3,1,0,513
"9152",1,44,4,1,0,0,670
"9152",1,14,4,1,0,0,591
